what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.4.2.M20090127-1700,org.eclipse.ui.workbench,1413617389050
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1413617389050
started,bundle,org.springframework.ide.eclipse.aop.core,2.2.4.RELEASE,org.springframework.ide.eclipse.aop.core,1413617389050
started,bundle,org.springframework.ide.eclipse.aop.ui,2.2.4.RELEASE,org.springframework.ide.eclipse.aop.ui,1413617389050
started,bundle,org.springframework.ide.eclipse.beans.core,2.2.4.RELEASE,org.springframework.ide.eclipse.beans.core,1413617389050
started,bundle,org.springframework.ide.eclipse.beans.ui,2.2.4.RELEASE,org.springframework.ide.eclipse.beans.ui,1413617389050
started,bundle,org.springframework.ide.eclipse.core,2.2.4.RELEASE,org.springframework.ide.eclipse.core,1413617389050
started,bundle,org.springframework.ide.eclipse.javaconfig.ui,2.2.4.RELEASE,org.springframework.ide.eclipse.javaconfig.ui,1413617389050
started,bundle,org.springframework.ide.eclipse.ui,2.2.4.RELEASE,org.springframework.ide.eclipse.ui,1413617389050
started,bundle,org.eclipse.mylyn.bugzilla.core,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.bugzilla.core,1413617389050
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.bugzilla.ui,1413617389050
started,bundle,org.eclipse.mylyn.commons.net,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.commons.net,1413617389050
started,bundle,org.eclipse.mylyn.commons.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.commons.ui,1413617389050
started,bundle,org.eclipse.mylyn.context.core,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.context.core,1413617389050
started,bundle,org.eclipse.mylyn.context.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.context.ui,1413617389050
started,bundle,org.eclipse.mylyn.monitor.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.monitor.ui,1413617389050
started,bundle,org.eclipse.mylyn.tasks.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.tasks.ui,1413617389050
started,bundle,org.maven.ide.eclipse.mylyn,0.9.5.20080717-1820,org.maven.ide.eclipse.mylyn,1413617389050
started,bundle,org.maven.ide.eclipse.mylyn3,0.9.8.200905041413,org.maven.ide.eclipse.mylyn3,1413617389050
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,org.tigris.subversion.subclipse.ui,1413617389065
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1413617389330
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1413617389330
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1413617389726
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1413617389920
started,bundle,net.sf.eclipsecs.core,5.0.0.200904182130-beta3,net.sf.eclipsecs.core,1413617390362
